epoch,train_loss,train_accuracy,val_loss,val_accuracy,mean_grad_norm,mean_grad_change_norm,mean_relative_grad_change,mean_grad_cosine,mean_grad_diff_over_distance
1,1.193420757637024,0.56996,1.0070176155090331,0.6489,5.1898910011476875,6.494508293958811,1.2934444938631502,0.2107781604815943,28.29931396848055
2,0.7685593648910523,0.73132,0.8303548684120178,0.7126,5.934445161648723,7.332706386171034,1.2882220352486913,0.22218048158030282,30.755782192879554
3,0.6143938208389282,0.7889,0.8059018211364746,0.7336,5.694034864835422,7.122386210409881,1.3038426917888115,0.20725951478828478,27.754928874559454
4,0.5069295752811432,0.8264,0.7105563962936401,0.7635,5.6366803768040885,7.283641893235619,1.3487040835473953,0.15812988999202046,27.464911094880918
5,0.4353761908340454,0.85126,0.5989729887962342,0.8043,5.512960240664079,7.000728269367267,1.3358202711575584,0.1980126277457856,25.505257148694962
6,0.3706535643577576,0.87266,0.6197996088027954,0.7966,5.376282963911286,6.965929821629048,1.3545615770122692,0.15862800010725323,24.868211813086248
7,0.31984897214889524,0.89126,0.6489679231643677,0.7923,5.287861900256418,6.849207094563242,1.3548469552052658,0.1588532454203195,24.418680362628677
8,0.2701202568340301,0.90898,0.6674566804885864,0.7975,5.093999370589586,6.6712298088366415,1.3626950123001056,0.15237907820578922,24.250261400136303
9,0.23895383815288543,0.9176,0.6491099367141724,0.8004,4.995850989580764,6.62203667413853,1.3847271783813708,0.13591157751636643,24.271404864026465
10,0.20974788630485536,0.9283,0.8719627303123474,0.7581,5.156064006983471,6.746336124742123,1.3776798760712659,0.15748636974700633,25.59468144707587
11,0.17846333333969117,0.93908,0.862696939086914,0.7617,4.817420699712261,6.4670548249998365,1.4078413688999296,0.11334850709966343,25.953364486911585
12,0.15919568966388703,0.94628,0.7454849711418152,0.791,4.5435836421864115,6.155421350923036,1.4271735665393868,0.11013119818006768,25.608288585643205
13,0.15039891194343566,0.9495,0.80422381067276,0.7867,4.501360078906769,6.001240020517803,1.4030668492288263,0.13259498053885369,25.598424594250385
14,0.13506551619052887,0.95462,0.8132967639923095,0.7882,4.392820474741709,5.890557981817923,1.406230400404358,0.12291869476897276,26.0871709338023
15,0.11945384342193603,0.95926,0.8162972099304199,0.7841,4.198921747677161,5.735499561900068,1.4424135792259971,0.09621035620947416,26.48966846909858
16,0.12276313514709472,0.95876,0.7438300756454468,0.7977,4.17592515360059,5.695424103675901,1.4286100680097515,0.09004554063286585,26.293395288778473
17,0.1038379588317871,0.96534,0.7376705632209778,0.8096,3.905592233018802,5.384446659356432,1.4549820582466069,0.07826223294667499,27.14428983377182
18,0.10441977773189545,0.96534,0.8124185091018676,0.8053,4.017877243668832,5.502115140790525,1.4662288678534228,0.09339174816904165,27.849397723513395
19,0.0954764036154747,0.96722,0.7237532642364501,0.8182,3.866224154029661,5.277771507382698,1.4568415031879334,0.10029016459471476,27.630293203282648
20,0.09653435116052628,0.96686,0.9612449628829957,0.7817,3.855334058899404,5.329916260126606,1.4781273430532593,0.07988471254948146,28.048492251191014
