epoch,train_loss,train_accuracy,val_loss,val_accuracy,mean_grad_norm,mean_grad_change_norm,mean_relative_grad_change,mean_grad_cosine,mean_grad_diff_over_distance
1,1.3051739548873902,0.5306,1.0869741707801819,0.6133,10.285971646418657,14.057011995560083,1.3722868487285795,0.06368174821389122,398.0049109846587
2,0.8723983084106446,0.69092,1.0016435024261474,0.6451,11.964154638597728,16.29461248695393,1.3734380157090624,0.07110165978026817,461.41718716774307
3,0.617516607208252,0.78484,0.9483535974502564,0.6777,13.25131804863815,17.936320880489887,1.3674318003527641,0.08269916133314391,477.8172519715835
4,0.38597274461746217,0.86734,1.1258785404205323,0.6585,14.131741499352028,19.469139047900732,1.3945999107933784,0.055224568333567293,519.4187594500927
5,0.21057613370895387,0.93012,1.2840276906967163,0.6652,13.349692878820708,18.470283730255673,1.4046235550066708,0.05559371419601104,533.2885840095516
6,0.12197293668746949,0.95922,1.2765830026626588,0.6889,12.457158876501996,17.446441179651128,1.4372983088333813,0.039783222438848534,546.9448345668835
7,0.09862101383686066,0.96534,1.4200343689918518,0.6802,12.79298423623185,17.800055223352768,1.43188083331363,0.0485084607233734,542.8421997525315
8,0.08741009640455245,0.96966,1.4433493173599243,0.6929,12.724581722103421,17.878781691841457,1.4454592587084867,0.038283059186221144,539.8334436184044
9,0.07990983582019806,0.97194,1.547610057258606,0.6763,12.730456254671298,17.895245559380182,1.4767352308619126,0.04073484043728875,549.4220512442026
10,0.0701233136510849,0.97544,1.579945195388794,0.6954,12.099584891058296,17.112927727077317,1.4942476449279878,0.035969393569892726,539.4684588750364
11,0.06186855115175247,0.97818,1.7281604694366455,0.6841,11.841284634816981,16.89868776877518,1.527338513490772,0.029673485363454884,535.2799909148265
12,0.05903214063167572,0.97926,1.598305058002472,0.6927,11.716543547027861,16.64190511020553,1.530532218099656,0.03582866060981632,522.9953665994559
13,0.06018055912137032,0.9794,1.5420985189437866,0.7058,11.763054862656556,16.71603789414896,1.5300500576844625,0.039289028785439196,523.7437756472918
14,0.049141926995515825,0.98272,1.7032542073249817,0.6896,10.591962374994518,15.21299098031905,1.6026588939352684,0.0274547707721772,503.7494315392117
15,0.054720043646097186,0.98092,1.7133410121917725,0.6838,11.428950678966844,16.43167462129422,1.6462283870629844,0.035354664131208226,499.45744257287896
16,0.04825850679218769,0.98302,1.5547663898468018,0.6993,10.596472513797643,15.302465912021335,1.6435343754562308,0.025929826373398742,499.91094037203294
17,0.04840298975467682,0.98316,1.6782921102523805,0.688,10.405794301301317,14.964985895034907,1.6486975078783281,0.02772171801054979,472.21271491909647
18,0.040177418156266215,0.98576,1.6698378509521485,0.7026,9.678470430929032,14.070533598170561,1.792923131887718,0.025723181247515867,470.62883696744865
19,0.043117566703557965,0.98494,1.8878984212875367,0.6772,10.315584609270706,14.888689831394673,1.6059871351898798,0.02694430944326398,460.22321758253753
20,0.043511146268248556,0.98506,1.6727045099258422,0.6984,10.047031544968295,14.60490916696046,1.7164409871236066,0.026401520114811255,453.8617720176713
